query,labels,example_type
List the latest job openings for Google. List the next tech conferences for startups.,"JOBS_QUERY,EVENT_QUERY",pair
Retrieve recent job postings at Microsoft. What industry events are happening this month for startups?,"JOBS_QUERY,EVENT_QUERY",pair
Show me current job openings at Apple. Show me current market trends in the startup ecosystem.,"JOBS_QUERY,MARKET_TRENDS_QUERY",pair
List the latest job openings for Google. What are the latest market trends in tech startups?,"JOBS_QUERY,MARKET_TRENDS_QUERY",pair
Retrieve recent job postings at Microsoft. Retrieve trends in the venture capital market.,"JOBS_QUERY,MARKET_TRENDS_QUERY",pair
Show me the profile of Elon Musk. What is Elon Musk's educational background?,"PEOPLE_PROFILE_QUERY,EDUCATION_QUERY",pair
Retrieve the profile of Jeff Bezos. Show me the degrees held by Jeff Bezos.,"PEOPLE_PROFILE_QUERY,EDUCATION_QUERY",pair
Give me the profile of Sundar Pichai. Retrieve the educational qualifications of Sundar Pichai.,"PEOPLE_PROFILE_QUERY,EDUCATION_QUERY",pair
Show me the profile of Elon Musk. Who are the main competitors of Apple?,"PEOPLE_PROFILE_QUERY,COMPETITOR_LOOKUP",pair
Retrieve the profile of Jeff Bezos. List Google's top competitors.,"PEOPLE_PROFILE_QUERY,COMPETITOR_LOOKUP",pair
Give me the profile of Sundar Pichai. Show me the competitors of Microsoft.,"PEOPLE_PROFILE_QUERY,COMPETITOR_LOOKUP",pair
Show me the profile of Elon Musk. Identify companies in cybersecurity that recently secured funding.,"PEOPLE_PROFILE_QUERY,LEAD_GENERATION_QUERY",pair
Retrieve the profile of Jeff Bezos. Show me startups in AI that are potential sales leads.,"PEOPLE_PROFILE_QUERY,LEAD_GENERATION_QUERY",pair
Give me the profile of Sundar Pichai. List emerging fintech companies for lead generation.,"PEOPLE_PROFILE_QUERY,LEAD_GENERATION_QUERY",pair
Show me the profile of Elon Musk. Provide an analysis of the top 5 players in the cloud computing market.,"PEOPLE_PROFILE_QUERY,MARKET_ANALYSIS_QUERY",pair
Retrieve the profile of Jeff Bezos. Show me a market analysis of the fintech sector.,"PEOPLE_PROFILE_QUERY,MARKET_ANALYSIS_QUERY",pair
Give me the profile of Sundar Pichai. What are the current trends in the startup ecosystem?,"PEOPLE_PROFILE_QUERY,MARKET_ANALYSIS_QUERY",pair
Show me the profile of Elon Musk. Show me the latest TechCrunch articles on startups.,"PEOPLE_PROFILE_QUERY,TECH_NEWS_QUERY",pair
Retrieve the profile of Jeff Bezos. Retrieve recent tech news on emerging startups.,"PEOPLE_PROFILE_QUERY,TECH_NEWS_QUERY",pair
Give me the profile of Sundar Pichai. What are the latest tech headlines in the startup world?,"PEOPLE_PROFILE_QUERY,TECH_NEWS_QUERY",pair
Show me the profile of Elon Musk. Show me the latest funding news in the startup world.,"PEOPLE_PROFILE_QUERY,FUNDING_NEWS_QUERY",pair
Retrieve the profile of Jeff Bezos. Retrieve recent articles about startup funding.,"PEOPLE_PROFILE_QUERY,FUNDING_NEWS_QUERY",pair
Give me the profile of Sundar Pichai. What are the current funding news headlines?,"PEOPLE_PROFILE_QUERY,FUNDING_NEWS_QUERY",pair
Show me the profile of Elon Musk. Show me upcoming industry events for startups.,"PEOPLE_PROFILE_QUERY,EVENT_QUERY",pair
Retrieve the profile of Jeff Bezos. List the next tech conferences for startups.,"PEOPLE_PROFILE_QUERY,EVENT_QUERY",pair
Give me the profile of Sundar Pichai. What industry events are happening this month for startups?,"PEOPLE_PROFILE_QUERY,EVENT_QUERY",pair
Show me the profile of Elon Musk. Show me current market trends in the startup ecosystem.,"PEOPLE_PROFILE_QUERY,MARKET_TRENDS_QUERY",pair
Retrieve the profile of Jeff Bezos. What are the latest market trends in tech startups?,"PEOPLE_PROFILE_QUERY,MARKET_TRENDS_QUERY",pair
Give me the profile of Sundar Pichai. Retrieve trends in the venture capital market.,"PEOPLE_PROFILE_QUERY,MARKET_TRENDS_QUERY",pair
What is Elon Musk's educational background? Who are the main competitors of Apple?,"EDUCATION_QUERY,COMPETITOR_LOOKUP",pair
Show me the degrees held by Jeff Bezos. List Google's top competitors.,"EDUCATION_QUERY,COMPETITOR_LOOKUP",pair
Retrieve the educational qualifications of Sundar Pichai. Show me the competitors of Microsoft.,"EDUCATION_QUERY,COMPETITOR_LOOKUP",pair
What is Elon Musk's educational background? Identify companies in cybersecurity that recently secured funding.,"EDUCATION_QUERY,LEAD_GENERATION_QUERY",pair
Show me the degrees held by Jeff Bezos. Show me startups in AI that are potential sales leads.,"EDUCATION_QUERY,LEAD_GENERATION_QUERY",pair
Retrieve the educational qualifications of Sundar Pichai. List emerging fintech companies for lead generation.,"EDUCATION_QUERY,LEAD_GENERATION_QUERY",pair
What is Elon Musk's educational background? Provide an analysis of the top 5 players in the cloud computing market.,"EDUCATION_QUERY,MARKET_ANALYSIS_QUERY",pair
Show me the degrees held by Jeff Bezos. Show me a market analysis of the fintech sector.,"EDUCATION_QUERY,MARKET_ANALYSIS_QUERY",pair
Retrieve the educational qualifications of Sundar Pichai. What are the current trends in the startup ecosystem?,"EDUCATION_QUERY,MARKET_ANALYSIS_QUERY",pair
What is Elon Musk's educational background? Show me the latest TechCrunch articles on startups.,"EDUCATION_QUERY,TECH_NEWS_QUERY",pair
Show me the degrees held by Jeff Bezos. Retrieve recent tech news on emerging startups.,"EDUCATION_QUERY,TECH_NEWS_QUERY",pair
Retrieve the educational qualifications of Sundar Pichai. What are the latest tech headlines in the startup world?,"EDUCATION_QUERY,TECH_NEWS_QUERY",pair
What is Elon Musk's educational background? Show me the latest funding news in the startup world.,"EDUCATION_QUERY,FUNDING_NEWS_QUERY",pair
Show me the degrees held by Jeff Bezos. Retrieve recent articles about startup funding.,"EDUCATION_QUERY,FUNDING_NEWS_QUERY",pair
Retrieve the educational qualifications of Sundar Pichai. What are the current funding news headlines?,"EDUCATION_QUERY,FUNDING_NEWS_QUERY",pair
What is Elon Musk's educational background? Show me upcoming industry events for startups.,"EDUCATION_QUERY,EVENT_QUERY",pair
Show me the degrees held by Jeff Bezos. List the next tech conferences for startups.,"EDUCATION_QUERY,EVENT_QUERY",pair
Retrieve the educational qualifications of Sundar Pichai. What industry events are happening this month for startups?,"EDUCATION_QUERY,EVENT_QUERY",pair
What is Elon Musk's educational background? Show me current market trends in the startup ecosystem.,"EDUCATION_QUERY,MARKET_TRENDS_QUERY",pair
Show me the degrees held by Jeff Bezos. What are the latest market trends in tech startups?,"EDUCATION_QUERY,MARKET_TRENDS_QUERY",pair
Retrieve the educational qualifications of Sundar Pichai. Retrieve trends in the venture capital market.,"EDUCATION_QUERY,MARKET_TRENDS_QUERY",pair
Who are the main competitors of Apple? Identify companies in cybersecurity that recently secured funding.,"COMPETITOR_LOOKUP,LEAD_GENERATION_QUERY",pair
List Google's top competitors. Show me startups in AI that are potential sales leads.,"COMPETITOR_LOOKUP,LEAD_GENERATION_QUERY",pair
Show me the competitors of Microsoft. List emerging fintech companies for lead generation.,"COMPETITOR_LOOKUP,LEAD_GENERATION_QUERY",pair
Who are the main competitors of Apple? Provide an analysis of the top 5 players in the cloud computing market.,"COMPETITOR_LOOKUP,MARKET_ANALYSIS_QUERY",pair
List Google's top competitors. Show me a market analysis of the fintech sector.,"COMPETITOR_LOOKUP,MARKET_ANALYSIS_QUERY",pair
Show me the competitors of Microsoft. What are the current trends in the startup ecosystem?,"COMPETITOR_LOOKUP,MARKET_ANALYSIS_QUERY",pair
Who are the main competitors of Apple? Show me the latest TechCrunch articles on startups.,"COMPETITOR_LOOKUP,TECH_NEWS_QUERY",pair
List Google's top competitors. Retrieve recent tech news on emerging startups.,"COMPETITOR_LOOKUP,TECH_NEWS_QUERY",pair
Show me the competitors of Microsoft. What are the latest tech headlines in the startup world?,"COMPETITOR_LOOKUP,TECH_NEWS_QUERY",pair
Who are the main competitors of Apple? Show me the latest funding news in the startup world.,"COMPETITOR_LOOKUP,FUNDING_NEWS_QUERY",pair
List Google's top competitors. Retrieve recent articles about startup funding.,"COMPETITOR_LOOKUP,FUNDING_NEWS_QUERY",pair
Show me the competitors of Microsoft. What are the current funding news headlines?,"COMPETITOR_LOOKUP,FUNDING_NEWS_QUERY",pair
Who are the main competitors of Apple? Show me upcoming industry events for startups.,"COMPETITOR_LOOKUP,EVENT_QUERY",pair
List Google's top competitors. List the next tech conferences for startups.,"COMPETITOR_LOOKUP,EVENT_QUERY",pair
Show me the competitors of Microsoft. What industry events are happening this month for startups?,"COMPETITOR_LOOKUP,EVENT_QUERY",pair
Who are the main competitors of Apple? Show me current market trends in the startup ecosystem.,"COMPETITOR_LOOKUP,MARKET_TRENDS_QUERY",pair
List Google's top competitors. What are the latest market trends in tech startups?,"COMPETITOR_LOOKUP,MARKET_TRENDS_QUERY",pair
Show me the competitors of Microsoft. Retrieve trends in the venture capital market.,"COMPETITOR_LOOKUP,MARKET_TRENDS_QUERY",pair
Identify companies in cybersecurity that recently secured funding. Provide an analysis of the top 5 players in the cloud computing market.,"LEAD_GENERATION_QUERY,MARKET_ANALYSIS_QUERY",pair
Show me startups in AI that are potential sales leads. Show me a market analysis of the fintech sector.,"LEAD_GENERATION_QUERY,MARKET_ANALYSIS_QUERY",pair
List emerging fintech companies for lead generation. What are the current trends in the startup ecosystem?,"LEAD_GENERATION_QUERY,MARKET_ANALYSIS_QUERY",pair
Identify companies in cybersecurity that recently secured funding. Show me the latest TechCrunch articles on startups.,"LEAD_GENERATION_QUERY,TECH_NEWS_QUERY",pair
Show me startups in AI that are potential sales leads. Retrieve recent tech news on emerging startups.,"LEAD_GENERATION_QUERY,TECH_NEWS_QUERY",pair
List emerging fintech companies for lead generation. What are the latest tech headlines in the startup world?,"LEAD_GENERATION_QUERY,TECH_NEWS_QUERY",pair
Identify companies in cybersecurity that recently secured funding. Show me the latest funding news in the startup world.,"LEAD_GENERATION_QUERY,FUNDING_NEWS_QUERY",pair
Show me startups in AI that are potential sales leads. Retrieve recent articles about startup funding.,"LEAD_GENERATION_QUERY,FUNDING_NEWS_QUERY",pair
List emerging fintech companies for lead generation. What are the current funding news headlines?,"LEAD_GENERATION_QUERY,FUNDING_NEWS_QUERY",pair
Identify companies in cybersecurity that recently secured funding. Show me upcoming industry events for startups.,"LEAD_GENERATION_QUERY,EVENT_QUERY",pair
Show me startups in AI that are potential sales leads. List the next tech conferences for startups.,"LEAD_GENERATION_QUERY,EVENT_QUERY",pair
List emerging fintech companies for lead generation. What industry events are happening this month for startups?,"LEAD_GENERATION_QUERY,EVENT_QUERY",pair
Identify companies in cybersecurity that recently secured funding. Show me current market trends in the startup ecosystem.,"LEAD_GENERATION_QUERY,MARKET_TRENDS_QUERY",pair
Show me startups in AI that are potential sales leads. What are the latest market trends in tech startups?,"LEAD_GENERATION_QUERY,MARKET_TRENDS_QUERY",pair
List emerging fintech companies for lead generation. Retrieve trends in the venture capital market.,"LEAD_GENERATION_QUERY,MARKET_TRENDS_QUERY",pair
Provide an analysis of the top 5 players in the cloud computing market. Show me the latest TechCrunch articles on startups.,"MARKET_ANALYSIS_QUERY,TECH_NEWS_QUERY",pair
Show me a market analysis of the fintech sector. Retrieve recent tech news on emerging startups.,"MARKET_ANALYSIS_QUERY,TECH_NEWS_QUERY",pair
What are the current trends in the startup ecosystem? What are the latest tech headlines in the startup world?,"MARKET_ANALYSIS_QUERY,TECH_NEWS_QUERY",pair
Provide an analysis of the top 5 players in the cloud computing market. Show me the latest funding news in the startup world.,"MARKET_ANALYSIS_QUERY,FUNDING_NEWS_QUERY",pair
Show me a market analysis of the fintech sector. Retrieve recent articles about startup funding.,"MARKET_ANALYSIS_QUERY,FUNDING_NEWS_QUERY",pair
What are the current trends in the startup ecosystem? What are the current funding news headlines?,"MARKET_ANALYSIS_QUERY,FUNDING_NEWS_QUERY",pair
Provide an analysis of the top 5 players in the cloud computing market. Show me upcoming industry events for startups.,"MARKET_ANALYSIS_QUERY,EVENT_QUERY",pair
Show me a market analysis of the fintech sector. List the next tech conferences for startups.,"MARKET_ANALYSIS_QUERY,EVENT_QUERY",pair
What are the current trends in the startup ecosystem? What industry events are happening this month for startups?,"MARKET_ANALYSIS_QUERY,EVENT_QUERY",pair
Provide an analysis of the top 5 players in the cloud computing market. Show me current market trends in the startup ecosystem.,"MARKET_ANALYSIS_QUERY,MARKET_TRENDS_QUERY",pair
Show me a market analysis of the fintech sector. What are the latest market trends in tech startups?,"MARKET_ANALYSIS_QUERY,MARKET_TRENDS_QUERY",pair
What are the current trends in the startup ecosystem? Retrieve trends in the venture capital market.,"MARKET_ANALYSIS_QUERY,MARKET_TRENDS_QUERY",pair
Show me the latest TechCrunch articles on startups. Show me the latest funding news in the startup world.,"TECH_NEWS_QUERY,FUNDING_NEWS_QUERY",pair
Retrieve recent tech news on emerging startups. Retrieve recent articles about startup funding.,"TECH_NEWS_QUERY,FUNDING_NEWS_QUERY",pair
What are the latest tech headlines in the startup world? What are the current funding news headlines?,"TECH_NEWS_QUERY,FUNDING_NEWS_QUERY",pair
Show me the latest TechCrunch articles on startups. Show me upcoming industry events for startups.,"TECH_NEWS_QUERY,EVENT_QUERY",pair
Retrieve recent tech news on emerging startups. List the next tech conferences for startups.,"TECH_NEWS_QUERY,EVENT_QUERY",pair
What are the latest tech headlines in the startup world? What industry events are happening this month for startups?,"TECH_NEWS_QUERY,EVENT_QUERY",pair
Show me the latest TechCrunch articles on startups. Show me current market trends in the startup ecosystem.,"TECH_NEWS_QUERY,MARKET_TRENDS_QUERY",pair
Retrieve recent tech news on emerging startups. What are the latest market trends in tech startups?,"TECH_NEWS_QUERY,MARKET_TRENDS_QUERY",pair
What are the latest tech headlines in the startup world? Retrieve trends in the venture capital market.,"TECH_NEWS_QUERY,MARKET_TRENDS_QUERY",pair
Show me the latest funding news in the startup world. Show me upcoming industry events for startups.,"FUNDING_NEWS_QUERY,EVENT_QUERY",pair
Retrieve recent articles about startup funding. List the next tech conferences for startups.,"FUNDING_NEWS_QUERY,EVENT_QUERY",pair
What are the current funding news headlines? What industry events are happening this month for startups?,"FUNDING_NEWS_QUERY,EVENT_QUERY",pair
Show me the latest funding news in the startup world. Show me current market trends in the startup ecosystem.,"FUNDING_NEWS_QUERY,MARKET_TRENDS_QUERY",pair
Retrieve recent articles about startup funding. What are the latest market trends in tech startups?,"FUNDING_NEWS_QUERY,MARKET_TRENDS_QUERY",pair
What are the current funding news headlines? Retrieve trends in the venture capital market.,"FUNDING_NEWS_QUERY,MARKET_TRENDS_QUERY",pair
Show me upcoming industry events for startups. Show me current market trends in the startup ecosystem.,"EVENT_QUERY,MARKET_TRENDS_QUERY",pair
List the next tech conferences for startups. What are the latest market trends in tech startups?,"EVENT_QUERY,MARKET_TRENDS_QUERY",pair
What industry events are happening this month for startups? Retrieve trends in the venture capital market.,"EVENT_QUERY,MARKET_TRENDS_QUERY",pair
Show me Apple's company profile. What funding rounds has Apple completed? What acquisitions has Apple made?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,ACQUISITION_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. Show me Apple's acquisition history.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,ACQUISITION_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. List the companies acquired by Google.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,ACQUISITION_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Which companies have gone public recently?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,IPO_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. Show me the IPO details for Apple.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,IPO_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. What are the IPO dates for Google?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,IPO_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Show me profiles of top investors in the startup ecosystem.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,INVESTOR_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. Who are the leading investors in tech startups?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,INVESTOR_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. Retrieve details about venture capital firms investing in AI.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,INVESTOR_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Give me the investment history for Apple.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,INVESTMENT_DETAILS_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. Show me the past investments made by Google.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,INVESTMENT_DETAILS_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. Retrieve the investment details for Microsoft.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,INVESTMENT_DETAILS_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Show me the parent company of YouTube.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. What is the subsidiary relationship of Alphabet?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. Retrieve details on the organizational hierarchy of Samsung.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Who are the co-investors in Apple's latest funding round?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,INVESTMENT_PARTNER_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. List the investment partners for Google in its recent round.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,INVESTMENT_PARTNER_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. Show me the co-investors for Microsoft's latest funding round.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,INVESTMENT_PARTNER_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Show me details on Sequoia Capital's funds.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,FUNDS_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. Retrieve information on Andreessen Horowitz's funds.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,FUNDS_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. Give me the fund details for SoftBank.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,FUNDS_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Show me current job openings at Apple.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,JOBS_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. List the latest job openings for Google.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,JOBS_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. Retrieve recent job postings at Microsoft.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,JOBS_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Show me the profile of Elon Musk.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,PEOPLE_PROFILE_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. Retrieve the profile of Jeff Bezos.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,PEOPLE_PROFILE_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. Give me the profile of Sundar Pichai.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,PEOPLE_PROFILE_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? What is Elon Musk's educational background?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,EDUCATION_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. Show me the degrees held by Jeff Bezos.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,EDUCATION_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. Retrieve the educational qualifications of Sundar Pichai.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,EDUCATION_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Who are the main competitors of Apple?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,COMPETITOR_LOOKUP",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. List Google's top competitors.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,COMPETITOR_LOOKUP",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. Show me the competitors of Microsoft.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,COMPETITOR_LOOKUP",triple
Show me Apple's company profile. What funding rounds has Apple completed? Identify companies in cybersecurity that recently secured funding.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,LEAD_GENERATION_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. Show me startups in AI that are potential sales leads.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,LEAD_GENERATION_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. List emerging fintech companies for lead generation.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,LEAD_GENERATION_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Provide an analysis of the top 5 players in the cloud computing market.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,MARKET_ANALYSIS_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. Show me a market analysis of the fintech sector.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,MARKET_ANALYSIS_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. What are the current trends in the startup ecosystem?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,MARKET_ANALYSIS_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Show me the latest TechCrunch articles on startups.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,TECH_NEWS_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. Retrieve recent tech news on emerging startups.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,TECH_NEWS_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. What are the latest tech headlines in the startup world?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,TECH_NEWS_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Show me the latest funding news in the startup world.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,FUNDING_NEWS_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. Retrieve recent articles about startup funding.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,FUNDING_NEWS_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. What are the current funding news headlines?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,FUNDING_NEWS_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Show me upcoming industry events for startups.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,EVENT_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. List the next tech conferences for startups.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,EVENT_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. What industry events are happening this month for startups?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,EVENT_QUERY",triple
Show me Apple's company profile. What funding rounds has Apple completed? Show me current market trends in the startup ecosystem.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,MARKET_TRENDS_QUERY",triple
Get me the detailed company profile for Google. Show me the latest funding round for Google. What are the latest market trends in tech startups?,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,MARKET_TRENDS_QUERY",triple
I need the company profile for Microsoft. Get details on Microsoft's funding rounds. Retrieve trends in the venture capital market.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,MARKET_TRENDS_QUERY",triple
Show me Apple's company profile. What acquisitions has Apple made? Which companies have gone public recently?,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,IPO_QUERY",triple
Get me the detailed company profile for Google. Show me Apple's acquisition history. Show me the IPO details for Apple.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,IPO_QUERY",triple
I need the company profile for Microsoft. List the companies acquired by Google. What are the IPO dates for Google?,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,IPO_QUERY",triple
Show me Apple's company profile. What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,INVESTOR_QUERY",triple
Get me the detailed company profile for Google. Show me Apple's acquisition history. Who are the leading investors in tech startups?,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,INVESTOR_QUERY",triple
I need the company profile for Microsoft. List the companies acquired by Google. Retrieve details about venture capital firms investing in AI.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,INVESTOR_QUERY",triple
Show me Apple's company profile. What acquisitions has Apple made? Give me the investment history for Apple.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY",triple
Get me the detailed company profile for Google. Show me Apple's acquisition history. Show me the past investments made by Google.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY",triple
I need the company profile for Microsoft. List the companies acquired by Google. Retrieve the investment details for Microsoft.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY",triple
Show me Apple's company profile. What acquisitions has Apple made? Show me the parent company of YouTube.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
Get me the detailed company profile for Google. Show me Apple's acquisition history. What is the subsidiary relationship of Alphabet?,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
I need the company profile for Microsoft. List the companies acquired by Google. Retrieve details on the organizational hierarchy of Samsung.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
Show me Apple's company profile. What acquisitions has Apple made? Who are the co-investors in Apple's latest funding round?,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,INVESTMENT_PARTNER_QUERY",triple
Get me the detailed company profile for Google. Show me Apple's acquisition history. List the investment partners for Google in its recent round.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,INVESTMENT_PARTNER_QUERY",triple
I need the company profile for Microsoft. List the companies acquired by Google. Show me the co-investors for Microsoft's latest funding round.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,INVESTMENT_PARTNER_QUERY",triple
Show me Apple's company profile. What acquisitions has Apple made? Show me details on Sequoia Capital's funds.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,FUNDS_QUERY",triple
Get me the detailed company profile for Google. Show me Apple's acquisition history. Retrieve information on Andreessen Horowitz's funds.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,FUNDS_QUERY",triple
I need the company profile for Microsoft. List the companies acquired by Google. Give me the fund details for SoftBank.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,FUNDS_QUERY",triple
